,vintage_name,vintage_wine_name,vintage_wine_vintage_type,vintage_wine_is_natural,vintage_wine_region_name,vintage_wine_winery_name,vintage_wine_taste_structure_acidity,vintage_wine_taste_structure_intensity,vintage_wine_taste_structure_sweetness,vintage_wine_taste_structure_tannin,vintage_wine_statistics_ratings_count,vintage_wine_statistics_ratings_average,vintage_year,price_amount,price_type
0,Château La Gaffelière Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018,Saint-Émilion Grand Cru (Premier Grand Cru Classé),0,False,Saint-Émilion Grand Cru,Château La Gaffelière,3.393317,4.161898,1.6456482,3.4722252,12372,4.2,2018,111.06,vc
1,Château les Carmes Haut-Brion Pessac-Léognan 2000,Pessac-Léognan,0,False,Pessac-Léognan,Château les Carmes Haut-Brion,4.181608,4.2698407,1.7729982,4.2939463,4896,4.1,2000,144.0,vc
2,M. Chapoutier Hermitage Monier de la Sizeranne 2013,Hermitage Monier de la Sizeranne,0,False,Hermitage,M. Chapoutier,3.4851713,4.5357456,1.6934882,3.9328852,6000,4.2,2013,138.0,vc
3,Château Latour à Pomerol Pomerol 2015,Pomerol,0,False,Pomerol,Château Latour à Pomerol,3.358971,4.1211004,1.673557,3.4342878,5976,4.3,2015,120.24,vc
4,Château Calon-Ségur Saint-Estèphe (Grand Cru Classé) 2018,Saint-Estèphe (Grand Cru Classé),0,False,Saint-Estèphe,Château Calon-Ségur,4.23159,4.171028,1.6340739,4.242128,25209,4.2,2018,150.0,vc
5,Château Croix de Labrie Saint-Émilion Grand Cru 2015,Saint-Émilion Grand Cru,0,False,Saint-Émilion Grand Cru,Château Croix de Labrie,3.4989007,4.224649,1.9511187,3.566504,1210,4.3,2015,108.83333333333333,vc
6,Château Grand-Puy-Lacoste Pauillac (Grand Cru Classé) 1988,Pauillac (Grand Cru Classé),0,False,Pauillac,Château Grand-Puy-Lacoste,4.1889377,4.176911,1.604519,4.2160115,22692,4.2,1988,131.0,vc
7,Château Valandraud Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2017,Saint-Émilion Grand Cru (Premier Grand Cru Classé),0,False,Saint-Émilion Grand Cru,Château Valandraud,3.3835192,4.230851,1.914051,3.5715854,5873,4.4,2017,138.0,vc
8,M. Chapoutier Côte-Rôtie La Mordorée  2008,Côte-Rôtie La Mordorée ,0,False,Côte-Rôtie,M. Chapoutier,3.8809733,4.082373,1.5686727,3.913857,1937,4.3,2008,138.0,vc
9,Château l'Évangile Pomerol 2013,Pomerol,0,False,Pomerol,Château l'Évangile,3.3713238,4.122035,1.7046146,3.4642496,8555,4.5,2013,145.0,vc
11,Gracia Saint-Émilion Grand Cru 2012,Saint-Émilion Grand Cru,0,False,Saint-Émilion Grand Cru,Gracia,3.3598511,4.36494,1.7679391,3.5033152,841,4.3,2012,120.5,vc
12,Jacques-Frederic Mugnier Nuits-Saint-Georges Premier Cru 'Clos de la Maréchale' 2018,Nuits-Saint-Georges Premier Cru 'Clos de la Maréchale',0,False,Nuits-Saint-Georges Premier Cru,Jacques-Frederic Mugnier,4.077334,2.940933,1.739692,2.6131902,5388,4.3,2018,118.0,vc
13,Château Rauzan-Ségla Margaux (Grand Cru Classé) 2018,Margaux (Grand Cru Classé),0,False,Margaux,Château Rauzan-Ségla,4.167604,3.7276208,1.5907615,3.87258,18112,4.3,2018,140.0,vc
14,Château l'Eglise-Clinet Pomerol 1994,Pomerol,0,False,Pomerol,Château l'Eglise-Clinet,3.4313025,4.2215214,1.791102,3.5793304,3181,4.3,1994,146.0,vc
15,Château Canon Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018,Saint-Émilion Grand Cru (Premier Grand Cru Classé),0,False,Saint-Émilion Grand Cru,Château Canon,3.370951,4.1438932,1.7064698,3.4487374,11137,4.3,2018,150.0,vc
16,Domaine de la Vougeraie Pommard Les Petits Noizons 2017,Pommard Les Petits Noizons,0,False,Pommard,Domaine de la Vougeraie,3.3639789,2.6608891,1.9761357,2.3200703,648,4.3,2017,145.0,vc
17,Robert Groffier Les Seuvrées Gevrey-Chambertin 2016,Les Seuvrées Gevrey-Chambertin,0,False,Gevrey-Chambertin,Robert Groffier,4.0770407,3.0437036,1.6386133,2.510231,823,4.2,2016,115.0,vc
18,Domaine Henri Gouges Les Saint Georges Nuits-Saint-Georges 1er Cru 2014,Les Saint Georges Nuits-Saint-Georges 1er Cru,0,False,Nuits-Saint-Georges Premier Cru,Domaine Henri Gouges,4.326461,3.0849044,1.7427249,2.686646,655,4.2,2014,135.92,vc
19,M. Chapoutier Côte-Rôtie La Mordorée  2013,Côte-Rôtie La Mordorée ,0,False,Côte-Rôtie,M. Chapoutier,3.8809733,4.082373,1.5686727,3.913857,1937,4.3,2013,115.0,xdo
